company_name,industry,ticker
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER.NS
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS
Jupiter Wagons Ltd.,Capital Goods,JWL.NS
Syrma SGS Technology Ltd.,Capital Goods,SYRMA.NS
Usha Martin Ltd.,Capital Goods,USHAMART.NS
KSB Ltd.,Capital Goods,KSB.NS
Graphite India Ltd.,Capital Goods,GRAPHITE.NS
Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS.NS
Jindal Saw Ltd.,Capital Goods,JINDALSAW.NS
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS
Finolex Industries Ltd.,Capital Goods,FINPIPE.NS
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH.NS
H.E.G. Ltd.,Capital Goods,HEG.NS
INOX India Ltd.,Capital Goods,INOXINDIA.NS
Action Construction Equipment Ltd.,Capital Goods,ACE.NS
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS
Elecon Engineering Co. Ltd.,Capital Goods,ELECON.NS
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL.NS
Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES.NS
Praj Industries Ltd.,Capital Goods,PRAJIND.NS
Aarti Industries Ltd.,Chemicals,AARTIIND.NS
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS
Atul Ltd.,Chemicals,ATUL.NS
BASF India Ltd.,Chemicals,BASF.NS
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS
Coromandel International Ltd.,Chemicals,COROMANDEL.NS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS
Himadri Speciality Chemical Ltd.,Chemicals,HSCL.NS
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS
Linde India Ltd.,Chemicals,LINDEINDIA.NS
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS
PCBL Chemical Ltd.,Chemicals,PCBL.NS
PI Industries Ltd.,Chemicals,PIIND.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS
Solar Industries India Ltd.,Chemicals,SOLARINDS.NS
SRF Ltd.,Chemicals,SRF.NS
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS
Swan Corp Ltd.,Chemicals,SWANCORP.NS
Tata Chemicals Ltd.,Chemicals,TATACHEM.NS
UPL Ltd.,Chemicals,UPL.NS
ACC Ltd.,Construction Materials,ACC.NS
Afcons Infrastructure Ltd.,Construction,AFCONS.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS
Engineers India Ltd.,Construction,ENGINERSIN.NS
Grasim Industries Ltd.,Construction Materials,GRASIM.NS
India Cements Ltd.,Construction Materials,INDIACEM.NS
IRB Infrastructure Developers Ltd.,Construction,IRB.NS
IRCON International Ltd.,Construction,IRCON.NS
J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS
JSW Cement Ltd.,Construction Materials,JSWCEMENT.NS
Kalpataru Projects International Ltd.,Construction,KPIL.NS
Kec International Ltd.,Construction,KEC.NS
Larsen & Toubro Ltd.,Construction,LT.NS
NBCC (India) Ltd.,Construction,NBCC.NS
NCC Ltd.,Construction,NCC.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS
Rail Vikas Nigam Ltd.,Construction,RVNL.NS
RITES Ltd.,Construction,RITES.NS
Shree Cement Ltd.,Construction Materials,SHREECEM.NS
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE.NS
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
Bata India Ltd.,Consumer Durables,BATAINDIA.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS
Havells India Ltd.,Consumer Durables,HAVELLS.NS
"JSW Dulux Ltd
",Consumer Durables,JSWDULUX.NS
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS
PG Electroplast Ltd.,Consumer Durables,PGEL.NS
Titan Company Ltd.,Consumer Durables,TITAN.NS
V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS
Voltas Ltd.,Consumer Durables,VOLTAS.NS
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL.NS
Avenue Supermarts Ltd.,Consumer Services,DMART.NS
BLS International Services Ltd.,Consumer Services,BLS.NS
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY.NS
Chalet Hotels Ltd.,Consumer Services,CHALET.NS
Devyani International Ltd.,Consumer Services,DEVYANI.NS
EIH Ltd.,Consumer Services,EIHOTEL.NS
Eternal Ltd.,Consumer Services,ETERNAL.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS
Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS
ITC Hotels Ltd.,Consumer Services,ITCHOTELS.NS
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA.NS
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS
Swiggy Ltd.,Consumer Services,SWIGGY.NS
TBO Tek Ltd.,Consumer Services,TBOTEK.NS
Trent Ltd.,Consumer Services,TRENT.NS
Valor Estate Ltd.,Consumer Services,DBREALTY.NS
Vedant Fashions Ltd.,Consumer Services,MANYAVAR.NS
Ventive Hospitality Ltd.,Consumer Services,UNLISTED
Vishal Mega Mart Ltd.,Consumer Services,VMM.NS
Bharat Electronics Ltd.,Defence,BEL.NS
Hindustan Aeronautics Ltd.,Defence,HAL.NS
Mazagoan Dock Shipbuilders Ltd.,Defence,MAZDOCK.NS
Bharat Dynamics Ltd.,Defence,BDL.NS
Garden Reach Shipbuilders & Engineers Ltd.,Defence,GRSE.NS
BEML Ltd.,Defence,BEML.NS
Data Patterns (India) Ltd.,Defence,DATAPATTNS.NS
Zen Technologies Ltd.,Defence,ZENTEC.NS
3M India Ltd.,Diversified,3MINDIA.NS
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS
Godrej Industries Ltd.,Diversified,GODREJIND.NS
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL.NS
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS.NS
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY.NS
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS.NS
Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI.NS
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH.NS
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS
United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR.NS
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS
360 ONE WAM Ltd.,Financial Services,360ONE.NS
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC.NS
Aavas Financiers Ltd.,Financial Services,AAVAS.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS
Angel One Ltd.,Financial Services,ANGELONE.NS
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL.NS
BSE Ltd.,Financial Services,BSE.NS
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS
Computer Age Management Services Ltd.,Financial Services,CAMS.NS
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS
Capri Global Capital Ltd.,Financial Services,CGCL.NS
Choice International Ltd.,Financial Services,CHOICEIN.NS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS
CRISIL Ltd.,Financial Services,CRISIL.NS
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS
General Insurance Corporation of India,Financial Services,GICRE.NS
Go Digit General Insurance Ltd.,Financial Services,GODIGIT.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS
IFCI Ltd.,Financial Services,IFCI.NS
IIFL Finance Ltd.,Financial Services,IIFL.NS
Indian Energy Exchange Ltd.,Financial Services,IEX.NS
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA.NS
Jio Financial Services Ltd.,Financial Services,JIOFIN.NS
JM Financial Ltd.,Financial Services,JMFINANCIL.NS
Kfin Technologies Ltd.,Financial Services,KFINTECH.NS
L&T Finance Ltd.,Financial Services,LTF.NS
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS
Life Insurance Corporation of India,Financial Services,LICI.NS
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS
Maharashtra Scooters Ltd.,Financial Services,MAHSCOOTER.NS
Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS
Max Financial Services Ltd.,Financial Services,MFSL.NS
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN.NS
The New India Assurance Company Ltd.,Financial Services,NIACL.NS
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA.NS
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA.NS
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA.NS
One 97 Communications Ltd.,Financial Services,PAYTM.NS
PB Fintech Ltd.,Financial Services,POLICYBZR.NS
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA.NS
Power Finance Corporation Ltd.,Financial Services,PFC.NS
REC Ltd.,Financial Services,RECLTD.NS
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP.NS
SBFC Finance Ltd.,Financial Services,SBFC.NS
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH.NS
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN.NS
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST.NS
UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS
Aditya Birla Real Estate Ltd.,Realty,ABREL.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE.NS
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS
Fortis Healthcare Ltd.,Healthcare,FORTIS.NS
Global Health Ltd.,Healthcare,MEDANTA.NS
Indegene Ltd.,Healthcare,INDGN.NS
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH.NS
Poly Medicure Ltd.,Healthcare,POLYMED.NS
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW.NS
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS
Affle 3i Ltd.,Information Technology,AFFLE.NS
Birlasoft Ltd.,Information Technology,BSOFT.NS
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS
Coforge Ltd.,Information Technology,COFORGE.NS
Cyient Ltd.,Information Technology,CYIENT.NS
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS
HCL Technologies Ltd.,Information Technology,HCLTECH.NS
Hexaware Technologies Ltd.,Information Technology,HEXT.NS
Infosys Ltd.,Information Technology,INFY.NS
Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS.NS
KPIT Technologies Ltd.,Information Technology,KPITTECH.NS
L&T Technology Services Ltd.,Information Technology,LTTS.NS
Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS
LTIMindtree Ltd.,Information Technology,LTM.NS
MphasiS Ltd.,Information Technology,MPHASIS.NS
Netweb Technologies India Ltd.,Information Technology,NETWEB.NS
Newgen Software Technologies Ltd.,Information Technology,NEWGEN.NS
Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS
Persistent Systems Ltd.,Information Technology,PERSISTENT.NS
Sagility Ltd.,Information Technology,SAGILITY.NS
Sonata Software Ltd.,Information Technology,SONATSOFTW.NS
Tata Consultancy Services Ltd.,Information Technology,TCS.NS
Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS
Tata Technologies Ltd.,Information Technology,TATATECH.NS
Tech Mahindra Ltd.,Information Technology,TECHM.NS
Wipro Ltd.,Information Technology,WIPRO.NS
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX.NS
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA.NS
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS
Gravita India Ltd.,Metals & Mining,GRAVITA.NS
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS
Jindal Stainless Ltd.,Metals & Mining,JSL.NS
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME.NS
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS
NMDC Ltd.,Metals & Mining,NMDC.NS
NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN.NS
Steel Authority of India Ltd.,Metals & Mining,SAIL.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
Vedanta Ltd.,Metals & Mining,VEDL.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG.NS
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,DELISTED
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL.NS
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
Abbott India Ltd.,Pharma,ABBOTINDIA.NS
Ajanta Pharmaceuticals Ltd.,Pharma,AJANTPHARM.NS
Akums Drugs and Pharmaceuticals Ltd.,Pharma,AKUMS.NS
Alembic Pharmaceuticals Ltd.,Pharma,APLLTD.NS
Alkem Laboratories Ltd.,Pharma,ALKEM.NS
AstraZenca Pharma India Ltd.,Pharma,ASTRAZEN.NS
Aurobindo Pharma Ltd.,Pharma,AUROPHARMA.NS
Biocon Ltd.,Pharma,BIOCON.NS
Blue Jet Healthcare Ltd.,Pharma,BLUEJET.NS
Caplin Point Laboratories Ltd.,Pharma,CAPLIPOINT.NS
Cipla Ltd.,Pharma,CIPLA.NS
Cohance Lifesciences Ltd.,Pharma,COHANCE.NS
Concord Biotech Ltd.,Pharma,CONCORDBIO.NS
Divi's Laboratories Ltd.,Pharma,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,Pharma,DRREDDY.NS
Emcure Pharmaceuticals Ltd.,Pharma,EMCURE.NS
Eris Lifesciences Ltd.,Pharma,ERIS.NS
Gland Pharma Ltd.,Pharma,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,Pharma,GLAXO.NS
Glenmark Pharmaceuticals Ltd.,Pharma,GLENMARK.NS
Granules India Ltd.,Pharma,GRANULES.NS
Ipca Laboratories Ltd.,Pharma,IPCALAB.NS
J.B. Chemicals & Pharmaceuticals Ltd.,Pharma,JBCHEPHARM.NS
Jubilant Pharmova Ltd.,Pharma,JUBLPHARMA.NS
Laurus Labs Ltd.,Pharma,LAURUSLABS.NS
Lupin Ltd.,Pharma,LUPIN.NS
Mankind Pharma Ltd.,Pharma,MANKIND.NS
NATCO Pharma Ltd.,Pharma,NATCOPHARM.NS
Neuland Laboratories Ltd.,Pharma,NEULANDLAB.NS
Onesource Specialty Pharma Ltd.,Pharma,ONESOURCE.NS
Pfizer Ltd.,Pharma,PFIZER.NS
Piramal Pharma Ltd.,Pharma,PPLPHARMA.NS
Sai Life Sciences Ltd.,Pharma,SAILIFE.NS
